date,hospital,cylinder,units
1/02/2018,METRO HEALTH SERVICE BOARD,cylinder_c,1
1/02/2018,METRO HEALTH SERVICE BOARD,cylinder_d,2
1/02/2018,METRO HEALTH SERVICE BOARD,cylinder_g,2
1/02/2018,Royal Perth Hospital,cylinder_f8,1
1/02/2018,Royal Perth Hospital,cylinder_c,1
1/03/2018,Bentley Hospital,cylinder_e,1
1/03/2018,King Edward Memorial Hospital For Women,cylinder_g,8
1/03/2018,Osborne Park Hospital,cylinder_g,4
1/03/2018,Rockingham General Hospital,cylinder_f8,1
1/04/2018,Bentley Hospital,cylinder_e,2
1/04/2018,King Edward Memorial Hospital For Women,cylinder_g,8
1/05/2018,Bentley Hospital,cylinder_e,2
1/05/2018,Osborne Park Hospital,cylinder_g,4
1/05/2018,Perth Children's Hospital,cylinder_c,1
1/05/2018,Perth Children's Hospital,cylinder_c,1
1/05/2018,Royal Perth Hospital,cylinder_f8,1
1/06/2018,Armadale-Kelmscott Memorial Hospital,cylinder_f8,2
1/06/2018,Bentley Hospital,cylinder_e,2
1/06/2018,METRO HEALTH SERVICE BOARD,cylinder_g,2
1/06/2018,Perth Children's Hospital,cylinder_c,2
1/06/2018,Rockingham General Hospital,cylinder_f8,1
1/06/2018,Royal Perth Hospital,cylinder_c,1
1/06/2018,Sir Charles Gairdner Hospital,cylinder_f8,2
1/06/2018,Sir Charles Gairdner Hospital,cylinder_d,3
1/07/2018,Bentley Hospital,cylinder_e,4
1/07/2018,King Edward Memorial Hospital For Women,cylinder_g,8
1/07/2018,Osborne Park Hospital,cylinder_c,1
1/07/2018,Perth Children's Hospital,cylinder_f8,2
1/08/2018,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/08/2018,Bentley Hospital,cylinder_e,2
1/08/2018,Fiona Stanley Hospital,cylinder_f8,2
1/08/2018,King Edward Memorial Hospital For Women,cylinder_g,8
1/08/2018,Sir Charles Gairdner Hospital,cylinder_f8,2
1/09/2018,Bentley Hospital,cylinder_e,4
1/09/2018,Fiona Stanley Hospital,cylinder_f8,0
1/09/2018,Rockingham General Hospital,cylinder_f8,1
1/09/2018,Sir Charles Gairdner Hospital,cylinder_d,2
1/10/2018,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/10/2018,Bentley Hospital,cylinder_e,2
1/10/2018,Bentley Hospital,cylinder_g,6
1/10/2018,Fiona Stanley Hospital,cylinder_f8,1
1/10/2018,Kalamunda District Community Hospital,cylinder_e,1
1/10/2018,King Edward Memorial Hospital For Women,cylinder_g,16
1/10/2018,METRO HEALTH SERVICE BOARD,cylinder_c,1
1/10/2018,METRO HEALTH SERVICE BOARD,cylinder_d,1
1/10/2018,METRO HEALTH SERVICE BOARD,cylinder_g,2
1/10/2018,Osborne Park Hospital,cylinder_g,4
1/10/2018,Perth Children's Hospital,cylinder_f8,2
1/10/2018,Royal Perth Hospital,cylinder_f8,1
1/10/2018,Royal Perth Hospital,cylinder_c,1
1/11/2018,King Edward Memorial Hospital For Women,cylinder_g,8
1/11/2018,Perth Children's Hospital,cylinder_c,1
1/11/2018,Royal Perth Hospital,cylinder_f8,1
1/12/2018,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/12/2018,King Edward Memorial Hospital For Women,cylinder_g,8
1/12/2018,Rockingham General Hospital,cylinder_f8,1
1/12/2018,Royal Perth Hospital,cylinder_f8,1
1/12/2018,Sir Charles Gairdner Hospital,cylinder_d,3
1/01/2019,Bentley Hospital,cylinder_g,2
1/01/2019,Osborne Park Hospital,cylinder_g,8
1/01/2019,Sir Charles Gairdner Hospital,cylinder_f8,2
1/02/2019,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/02/2019,King Edward Memorial Hospital For Women,cylinder_g,8
1/02/2019,METRO HEALTH SERVICE BOARD,cylinder_c,1
1/02/2019,METRO HEALTH SERVICE BOARD,cylinder_g,2
1/02/2019,Royal Perth Hospital,cylinder_c,1
1/02/2019,Sir Charles Gairdner Hospital,cylinder_c,1
1/02/2019,Sir Charles Gairdner Hospital,cylinder_d,1
1/03/2019,Bentley Hospital,cylinder_g,2
1/03/2019,Fiona Stanley Hospital,cylinder_f8,4
1/03/2019,King Edward Memorial Hospital For Women,cylinder_c,0
1/03/2019,King Edward Memorial Hospital For Women,cylinder_d,0
1/03/2019,King Edward Memorial Hospital For Women,cylinder_g,8
1/03/2019,Osborne Park Hospital,cylinder_g,4
1/03/2019,Perth Children's Hospital,cylinder_f8,2
1/03/2019,Royal Perth Hospital,cylinder_c,2
1/04/2019,King Edward Memorial Hospital For Women,cylinder_g,8
1/04/2019,Osborne Park Hospital,cylinder_g,1
1/04/2019,Rockingham General Hospital,cylinder_f8,1
1/04/2019,Royal Perth Hospital,cylinder_f8,2
1/05/2019,King Edward Memorial Hospital For Women,cylinder_g,8
1/05/2019,Royal Perth Hospital,cylinder_f8,1
1/06/2019,Bentley Hospital,cylinder_g,2
1/06/2019,King Edward Memorial Hospital For Women,cylinder_g,8
1/06/2019,Osborne Park Hospital,cylinder_g,3
1/07/2019,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/07/2019,Bentley Hospital,cylinder_g,2
1/07/2019,King Edward Memorial Hospital For Women,cylinder_d,1
1/07/2019,Perth Children's Hospital,cylinder_f8,2
1/07/2019,Rockingham General Hospital,cylinder_f8,1
1/07/2019,Royal Perth Hospital,cylinder_c,1
1/07/2019,Sir Charles Gairdner Hospital,cylinder_f8,2
1/07/2019,Sir Charles Gairdner Hospital,cylinder_c,1
1/08/2019,Armadale-Kelmscott Memorial Hospital,cylinder_c,1
1/08/2019,Fiona Stanley Hospital,cylinder_f8,1
1/08/2019,King Edward Memorial Hospital For Women,cylinder_g,24
1/08/2019,Osborne Park Hospital,cylinder_g,4
1/08/2019,Perth Children's Hospital,cylinder_c,2
1/08/2019,Rockingham General Hospital,cylinder_f8,1
1/09/2019,Bentley Hospital,cylinder_g,2
1/09/2019,METRO HEALTH SERVICE BOARD,cylinder_g,2
1/09/2019,Rockingham General Hospital,cylinder_c,1
1/10/2019,Armadale-Kelmscott Memorial Hospital,cylinder_f8,2
1/10/2019,Fiona Stanley Hospital,cylinder_f8,1
1/10/2019,Osborne Park Hospital,cylinder_c,2
1/10/2019,Osborne Park Hospital,cylinder_g,4
1/11/2019,Bentley Hospital,cylinder_g,2
1/11/2019,King Edward Memorial Hospital For Women,cylinder_g,8
1/11/2019,METRO HEALTH SERVICE BOARD,cylinder_g,2
1/11/2019,Rockingham General Hospital,cylinder_f8,1
1/11/2019,Royal Perth Hospital,cylinder_f8,1
1/11/2019,Royal Perth Hospital,cylinder_c,1
1/12/2019,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/12/2019,Bentley Hospital,cylinder_g,2
1/12/2019,Fiona Stanley Hospital,cylinder_f8,1
1/12/2019,Osborne Park Hospital,cylinder_g,4
1/12/2019,Perth Children's Hospital,cylinder_f8,2
1/12/2019,Rockingham General Hospital,cylinder_c,1
1/12/2019,Rockingham General Hospital,cylinder_f8,2
1/12/2019,Royal Perth Hospital,cylinder_c,1
1/01/2020,King Edward Memorial Hospital For Women,cylinder_g,8
1/01/2020,Perth Children's Hospital,cylinder_d,3
1/01/2020,Sir Charles Gairdner Hospital,cylinder_f8,2
1/01/2020,Sir Charles Gairdner Hospital,cylinder_d,1
1/02/2020,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/02/2020,Bentley Hospital,cylinder_g,2
1/02/2020,King Edward Memorial Hospital For Women,cylinder_g,8
1/02/2020,Osborne Park Hospital,cylinder_c,2
1/02/2020,Osborne Park Hospital,cylinder_g,4
1/03/2020,Fiona Stanley Hospital,cylinder_f8,1
1/03/2020,METRO HEALTH SERVICE BOARD,cylinder_g,2
1/03/2020,Rockingham General Hospital,cylinder_f8,1
1/04/2020,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/04/2020,Fiona Stanley Hospital,cylinder_f8,1
1/04/2020,King Edward Memorial Hospital For Women,cylinder_g,8
1/04/2020,Osborne Park Hospital,cylinder_g,4
1/04/2020,Sir Charles Gairdner Hospital,cylinder_d,1
1/05/2020,METRO HEALTH SERVICE BOARD,cylinder_d,1
1/06/2020,King Edward Memorial Hospital For Women,cylinder_g,8
1/06/2020,METRO HEALTH SERVICE BOARD,cylinder_g,2
1/06/2020,Osborne Park Hospital,cylinder_g,4
1/06/2020,Royal Perth Hospital,cylinder_c,1
1/07/2020,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/07/2020,Bentley Hospital,cylinder_g,2
1/07/2020,King Edward Memorial Hospital For Women,cylinder_g,8
1/07/2020,METRO HEALTH SERVICE BOARD,cylinder_d,2
1/07/2020,Perth Children's Hospital,cylinder_c,1
1/07/2020,Rockingham General Hospital,cylinder_c,2
1/07/2020,Sir Charles Gairdner Hospital,cylinder_d,1
1/08/2020,Fiona Stanley Hospital,cylinder_f8,1
1/08/2020,Rockingham General Hospital,cylinder_c,1
1/08/2020,Rockingham General Hospital,cylinder_f8,1
1/09/2020,Fiona Stanley Hospital,cylinder_f8,1
1/09/2020,King Edward Memorial Hospital For Women,cylinder_g,8
1/09/2020,Osborne Park Hospital,cylinder_g,4
1/09/2020,Perth Children's Hospital,cylinder_f8,2
1/09/2020,Royal Perth Hospital,cylinder_f8,1
1/10/2020,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/10/2020,King Edward Memorial Hospital For Women,cylinder_d,1
1/10/2020,King Edward Memorial Hospital For Women,cylinder_g,8
1/10/2020,METRO HEALTH SERVICE BOARD,cylinder_g,2
1/10/2020,Rockingham General Hospital,cylinder_c,1
1/10/2020,Sir Charles Gairdner Hospital,cylinder_f8,2
1/11/2020,Rockingham General Hospital,cylinder_c,2
1/11/2020,Rockingham General Hospital,cylinder_f8,1
1/11/2020,Royal Perth Hospital,cylinder_f8,1
1/12/2020,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/12/2020,Fiona Stanley Hospital,cylinder_f8,1
1/12/2020,King Edward Memorial Hospital For Women,cylinder_g,8
1/12/2020,Osborne Park Hospital,cylinder_g,4
1/12/2020,Perth Children's Hospital,cylinder_f8,2
1/12/2020,Royal Perth Hospital,cylinder_c,1
1/12/2020,Sir Charles Gairdner Hospital,cylinder_d,2
1/01/2021,Bentley Hospital,cylinder_g,2
1/01/2021,King Edward Memorial Hospital For Women,cylinder_g,8
1/01/2021,METRO HEALTH SERVICE BOARD,cylinder_g,2
1/02/2021,Fiona Stanley Hospital,cylinder_f8,1
1/02/2021,Rockingham General Hospital,cylinder_f8,1
1/03/2021,King Edward Memorial Hospital For Women,cylinder_g,8
1/03/2021,Osborne Park Hospital,cylinder_g,4
1/03/2021,Perth Children's Hospital,cylinder_g,1
1/03/2021,Rockingham General Hospital,cylinder_f8,1
1/04/2021,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/04/2021,Fiona Stanley Hospital,cylinder_f8,1
1/04/2021,King Edward Memorial Hospital For Women,cylinder_g,8
1/04/2021,Perth Children's Hospital,cylinder_f8,2
1/04/2021,Rockingham General Hospital,cylinder_c,1
1/04/2021,Rockingham General Hospital,cylinder_f8,1
1/04/2021,Royal Perth Hospital,cylinder_f8,1
1/05/2021,METRO HEALTH SERVICE BOARD,cylinder_g,2
1/05/2021,Osborne Park Hospital,cylinder_g,4
1/05/2021,Royal Perth Hospital,cylinder_c,3
1/05/2021,Royal Perth Hospital,cylinder_d,3
1/06/2021,Fiona Stanley Hospital,cylinder_f8,1
1/06/2021,King Edward Memorial Hospital For Women,cylinder_g,2
1/06/2021,King Edward Memorial Hospital For Women,cylinder_g,8
1/06/2021,METRO HEALTH SERVICE BOARD,cylinder_c,1
1/06/2021,Rockingham General Hospital,cylinder_f8,1
1/06/2021,Royal Perth Hospital,cylinder_f8,1
1/06/2021,Sir Charles Gairdner Hospital,cylinder_f8,2
1/07/2021,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/07/2021,Bentley Hospital,cylinder_g,4
1/07/2021,King Edward Memorial Hospital For Women,cylinder_e,2
1/07/2021,King Edward Memorial Hospital For Women,cylinder_c,1
1/07/2021,Rockingham General Hospital,cylinder_f8,1
1/08/2021,King Edward Memorial Hospital For Women,cylinder_c,2
1/08/2021,METRO HEALTH SERVICE BOARD,cylinder_g,2
1/08/2021,Osborne Park Hospital,cylinder_c,1
1/08/2021,Osborne Park Hospital,cylinder_g,4
1/08/2021,Perth Children's Hospital,cylinder_c,2
1/08/2021,Rockingham General Hospital,cylinder_c,1
1/08/2021,Sir Charles Gairdner Hospital,cylinder_d,1
1/09/2021,Fiona Stanley Hospital,cylinder_f8,1
1/09/2021,Perth Children's Hospital,cylinder_c,2
1/09/2021,Perth Children's Hospital,cylinder_c,-2
1/09/2021,Rockingham General Hospital,cylinder_f8,1
1/10/2021,King Edward Memorial Hospital For Women,cylinder_g,6
1/10/2021,METRO HEALTH SERVICE BOARD,cylinder_c,2
1/10/2021,Osborne Park Hospital,cylinder_g,4
1/10/2021,Rockingham General Hospital,cylinder_c,1
1/10/2021,Rockingham General Hospital,cylinder_f8,1
1/10/2021,Royal Perth Hospital,cylinder_g,3
1/11/2021,Armadale-Kelmscott Memorial Hospital,cylinder_f8,1
1/11/2021,King Edward Memorial Hospital For Women,cylinder_g,8
1/11/2021,METRO HEALTH SERVICE BOARD,cylinder_g,2
1/11/2021,Osborne Park Hospital,cylinder_g,4
1/11/2021,Sir Charles Gairdner Hospital,cylinder_c,1
1/12/2021,Fiona Stanley Hospital,cylinder_f8,1
1/12/2021,Osborne Park Hospital,cylinder_g,2
1/12/2021,Rockingham General Hospital,cylinder_f8,1
